City_ID,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
352,nara,JP,63.97,69,99,5.08,34.6851,135.8049,1650666955
353,sokoni,TZ,81.75,74,83,5.91,-6.4333,39.55,1650667098
354,laguna,US,68.61,42,40,4.61,38.421,-121.4238,1650666813
355,markivka,UA,43.86,83,78,6.58,49.5229,39.5705,1650667099
356,verkhoturye,RU,23.76,85,42,2.8,58.8627,60.8054,1650667099
357,denpasar,ID,80.26,88,20,2.3,-8.65,115.2167,1650666916
358,det udom,TH,78.62,73,5,4.07,14.906,105.0784,1650667100
359,faya,SA,64.51,44,97,5.93,18.3851,42.4509,1650667101
360,troitskoye,RU,30.0,52,96,6.8,52.9821,84.6757,1650667101
361,tabas,IR,82.62,20,100,2.3,33.5959,56.9244,1650667101
362,kribi,CM,79.86,85,66,6.76,2.95,9.9167,1650667102
363,shimoda,JP,68.52,72,91,17.98,34.6667,138.95,1650667102
364,gamba,GA,77.49,90,100,2.08,-2.65,10.0,1650667102
365,san vicente,AR,63.36,98,39,4.0,-26.6167,-54.1333,1650667103
